Чорна п'ятниця,blue.png,Знижки на осінні колекції,2024-01-05,2024-01-29, 1
Весняний розпродаж,green.png,Спеціальні ціни на зимову техніку,2024-01-08,2024-01-19, 2
Новорічні знижки,red.png,Найкращі пропозиції на зимову техніку,2024-01-10,2024-01-13, 3
Новорічні знижки,red.png,Знижки на осінні колекції,2024-01-11,2024-02-03, 4
Спеціальна акція лютого,green.png,Подарунки для всіх на свята,2024-01-18,2024-02-08, 5
Різдвяний розпродаж,green.png,Знижки на всю техніку влітку,2024-01-18,2024-02-13, 6
Весняний розпродаж,green.png,Подарунки для всіх на свята,2024-01-20,2024-01-21, 7
Осіння акція,red.png,Найкращі пропозиції на зимову техніку,2024-01-20,2024-02-15, 8
Літній розпродаж,red.png,Спеціальні пропозиції для мам,2024-01-29,2024-02-10, 9
Літній розпродаж,red.png,Знижки до 50% на обрані товари,2024-02-02,2024-02-27, 10
Літній розпродаж,red.png,Вигідні пропозиції на новий рік,2024-02-03,2024-02-26, 11
Спеціальна акція лютого,green.png,Знижки на осінні колекції,2024-02-07,2024-02-17, 12
Літній розпродаж,green.png,Найкращі пропозиції на зимову техніку,2024-02-08,2024-02-10, 13
Осіння акція,red.png,Оновіть свою техніку за вигідними цінами,2024-02-08,2024-02-18, 14
Зимова акція,blue.png,Спеціальні ціни на зимову техніку,2024-02-11,2024-03-09, 15
Зимова акція,blue.png,Знижки до 50% на обрані товари,2024-02-17,2024-02-19, 16
Зимова акція,red.png,Знижки на осінні колекції,2024-02-21,2024-03-11, 17
Різдвяний розпродаж,green.png,Подарунки для всіх на свята,2024-02-23,2024-03-07, 18
Весняний розпродаж,green.png,Знижки на осінні колекції,2024-02-25,2024-03-11, 19
Різдвяний розпродаж,blue.png,Вигідні пропозиції на новий рік,2024-02-27,2024-03-02, 20
Різдвяний розпродаж,red.png,Вигідні пропозиції на новий рік,2024-02-28,2024-03-20, 21
Зимова розпродаж,green.png,Знижки на осінні колекції,2024-02-29,2024-03-09, 22
Літній розпродаж,red.png,Найбільші знижки року,2024-02-29,2024-03-24, 23
Весняний розпродаж,green.png,Знижки до 50% на обрані товари,2024-03-01,2024-03-03, 24
Акція до Дня матері,green.png,Знижки на всю техніку влітку,2024-03-02,2024-03-25, 25
Осіння акція,blue.png,Спеціальні ціни на зимову техніку,2024-03-03,2024-03-25, 26
Різдвяний розпродаж,red.png,Найкращі пропозиції на зимову техніку,2024-03-06,2024-03-08, 27
Різдвяний розпродаж,blue.png,Спеціальні ціни на зимову техніку,2024-03-13,2024-04-02, 28
Осіння акція,red.png,Знижки на осінні колекції,2024-03-14,2024-03-23, 29
Осіння акція,blue.png,Найкращі пропозиції на зимову техніку,2024-03-16,2024-04-12, 30
Спеціальна акція лютого,green.png,Вигідні пропозиції на новий рік,2024-03-18,2024-03-31, 31
Зимова розпродаж,green.png,Знижки до 50% на обрані товари,2024-03-22,2024-03-25, 32
Акція до Дня матері,green.png,Спеціальні ціни на зимову техніку,2024-03-25,2024-04-17, 33
Акція до Дня матері,red.png,Оновіть свою техніку за вигідними цінами,2024-04-02,2024-04-28, 34
Різдвяний розпродаж,red.png,Оновіть свою техніку за вигідними цінами,2024-04-04,2024-04-14, 35
Акція до Дня матері,red.png,Знижки на всю техніку влітку,2024-04-06,2024-05-06, 36
Весняний розпродаж,green.png,Знижки до 50% на обрані товари,2024-04-10,2024-05-01, 37
Різдвяний розпродаж,red.png,Найбільші знижки року,2024-04-16,2024-04-17, 38
Весняний розпродаж,red.png,Найбільші знижки року,2024-04-18,2024-04-27, 39
Зимова розпродаж,blue.png,Найкращі пропозиції на зимову техніку,2024-04-21,2024-04-23, 40
Акція до Дня матері,blue.png,Найкращі пропозиції на зимову техніку,2024-04-24,2024-04-29, 41
Весняний розпродаж,red.png,Вигідні пропозиції на новий рік,2024-04-27,2024-05-13, 42
Зимова акція,red.png,Оновіть свою техніку за вигідними цінами,2024-05-03,2024-05-05, 43
Літній розпродаж,blue.png,Подарунки для всіх на свята,2024-05-04,2024-05-20, 44
Акція до Дня матері,green.png,Спеціальні ціни на зимову техніку,2024-05-07,2024-05-15, 45
Різдвяний розпродаж,green.png,Оновіть свою техніку за вигідними цінами,2024-05-08,2024-05-18, 46
Акція до Дня матері,green.png,Оновіть свою техніку за вигідними цінами,2024-05-13,2024-05-23, 47
Осіння акція,red.png,Знижки на всю техніку влітку,2024-05-15,2024-06-14, 48
Осіння акція,blue.png,Подарунки для всіх на свята,2024-05-18,2024-06-02, 49
Осіння акція,red.png,Вигідні пропозиції на новий рік,2024-05-19,2024-05-24, 50
Зимова акція,red.png,Знижки на осінні колекції,2024-05-22,2024-05-30, 51
Спеціальна акція лютого,green.png,Спеціальні пропозиції для мам,2024-05-28,2024-06-20, 52
Весняний розпродаж,green.png,Найкращі пропозиції на зимову техніку,2024-05-30,2024-05-31, 53
Різдвяний розпродаж,green.png,Знижки на всю техніку влітку,2024-05-30,2024-06-02, 54
Весняний розпродаж,red.png,Знижки на всю техніку влітку,2024-05-30,2024-06-19, 55
Різдвяний розпродаж,green.png,Найкращі пропозиції на зимову техніку,2024-06-02,2024-06-05, 56
Літній розпродаж,blue.png,Знижки до 50% на обрані товари,2024-06-03,2024-06-16, 57
Зимова акція,red.png,Знижки до 50% на обрані товари,2024-06-03,2024-06-23, 58
Зимова розпродаж,green.png,Найкращі пропозиції на зимову техніку,2024-06-10,2024-07-06, 59
Різдвяний розпродаж,blue.png,Найкращі пропозиції на зимову техніку,2024-06-17,2024-07-10, 60
